sensor_id,value,timestamp,event_id
2,49.89,2023-03-05 00:25:00,1
2,11.71,2023-03-05 01:02:00,1
2,93.22,2023-03-05 00:50:00,1
2,3.83,2023-03-05 00:49:00,1
2,45.29,2023-03-05 00:51:00,1
2,70.58,2023-03-05 00:12:00,1
2,14.03,2023-03-05 01:16:00,1
2,87.73,2023-03-05 00:01:00,1
2,3.57,2023-03-05 00:46:00,1
2,23.88,2023-03-05 01:05:00,1
2,52.29,2023-03-05 00:25:00,1
2,44.75,2023-03-19 00:43:00,2
2,40.19,2023-03-19 01:30:00,2
2,7.56,2023-03-19 00:08:00,2
2,92.87,2023-03-19 01:39:00,2
2,99.29,2023-03-19 00:59:00,2
2,2.19,2023-03-19 00:53:00,2
2,98.54,2023-03-19 00:16:00,2
2,59.15,2023-03-19 01:19:00,2
2,58.03,2023-03-19 01:33:00,2
2,97.64,2023-03-19 01:43:00,2
2,86.68,2023-03-19 00:11:00,2
2,24.39,2023-03-19 00:57:00,2
2,26.68,2023-03-19 01:06:00,2
2,90.02,2023-03-19 01:58:00,2
2,72.57,2023-03-19 01:23:00,2
2,36.83,2023-03-19 00:28:00,2
2,74.47,2023-03-19 01:45:00,2
2,17.49,2023-04-02 01:13:00,3
2,89.44,2023-04-02 01:35:00,3
2,19.66,2023-04-02 00:47:00,3
2,82.01,2023-04-02 01:11:00,3
2,22.36,2023-04-02 00:15:00,3
2,12.6,2023-04-02 01:01:00,3
2,36.21,2023-04-02 00:28:00,3
2,91.88,2023-04-02 01:27:00,3
2,18.87,2023-04-02 01:10:00,3
2,58.47,2023-04-02 00:35:00,3
2,45.51,2023-04-02 00:03:00,3
2,15.41,2023-04-30 01:20:00,4
2,22.48,2023-04-30 00:10:00,4
2,43.46,2023-04-30 00:53:00,4
2,69.24,2023-04-30 01:30:00,4
2,36.21,2023-04-30 01:49:00,4
2,50.75,2023-04-30 00:56:00,4
2,88.62,2023-04-30 01:09:00,4
2,42.93,2023-04-30 00:35:00,4
2,87.79,2023-04-30 00:46:00,4
2,96.47,2023-04-30 00:28:00,4
2,83.78,2023-04-30 00:43:00,4
2,63.04,2023-04-30 01:01:00,4
2,30.69,2023-04-30 00:58:00,4
2,99.58,2023-04-30 01:14:00,4
2,58.98,2023-04-30 00:43:00,4
2,80.48,2023-04-30 01:56:00,4
2,54.83,2023-04-30 01:52:00,4
2,11.22,2023-04-30 00:49:00,4
2,94.1,2023-04-30 01:44:00,4
2,34.08,2023-04-30 00:51:00,4
2,91.34,2023-05-07 01:41:00,5
2,50.66,2023-05-07 01:25:00,5
2,40.75,2023-05-07 01:29:00,5
2,64.38,2023-05-07 00:46:00,5
2,3.83,2023-05-07 00:43:00,5
2,73.13,2023-05-07 01:06:00,5
2,74.13,2023-05-07 01:03:00,5
2,95.31,2023-05-07 01:24:00,5
2,23.18,2023-05-07 00:06:00,5
2,13.98,2023-05-07 01:59:00,5
2,38.28,2023-05-07 01:44:00,5
2,9.91,2023-05-07 00:06:00,5
2,11.92,2023-05-07 01:52:00,5
2,19.84,2023-05-28 00:46:00,6
2,77.1,2023-05-28 01:32:00,6
2,27.72,2023-05-28 00:34:00,6
2,2.18,2023-05-28 00:15:00,6
2,35.58,2023-05-28 01:01:00,6
2,39.0,2023-05-28 00:54:00,6
2,19.2,2023-05-28 00:17:00,6
2,1.89,2023-05-28 01:14:00,6
2,97.22,2023-05-28 00:50:00,6
2,14.9,2023-05-28 00:59:00,6
2,46.62,2023-05-28 01:13:00,6
2,70.61,2023-05-28 00:35:00,6
2,13.27,2023-05-28 01:57:00,6
2,58.9,2023-05-28 01:47:00,6
2,60.86,2023-05-28 00:21:00,6
2,6.91,2023-05-28 00:38:00,6
2,96.29,2023-05-28 00:04:00,6
2,80.59,2023-05-28 00:36:00,6
2,78.99,2023-05-28 00:58:00,6
2,44.73,2023-05-28 00:18:00,6
2,23.07,2023-06-04 00:38:00,7
2,37.27,2023-06-04 00:28:00,7
2,30.33,2023-06-04 01:05:00,7
2,86.47,2023-06-04 00:42:00,7
2,47.59,2023-06-04 00:52:00,7
2,61.71,2023-06-04 01:58:00,7
2,88.98,2023-06-04 01:49:00,7
2,83.89,2023-06-04 00:04:00,7
2,35.2,2023-06-04 00:46:00,7
2,56.19,2023-06-04 01:39:00,7
2,41.88,2023-06-04 00:31:00,7
2,85.04,2023-06-18 00:39:00,8
2,89.37,2023-06-18 00:28:00,8
2,12.23,2023-06-18 01:31:00,8
2,87.65,2023-06-18 00:14:00,8
2,98.36,2023-06-18 00:47:00,8
2,45.52,2023-06-18 00:21:00,8
2,46.53,2023-06-18 01:32:00,8
2,1.9,2023-06-18 01:30:00,8
2,14.63,2023-06-18 01:39:00,8
2,29.93,2023-06-18 00:26:00,8
2,20.74,2023-06-18 00:57:00,8
2,61.15,2023-06-18 01:07:00,8
2,82.69,2023-06-18 00:51:00,8
2,75.28,2023-06-18 01:30:00,8
2,18.07,2023-06-18 00:22:00,8
2,24.71,2023-07-02 00:27:00,9
